"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","11,573.18","11,429.47","11,647.62","11,312.52","220.46M","-0.08%"
"10/04/2022","11,582.54","11,477.85","11,609.25","11,462.37","282.89M","3.14%"
"10/03/2022","11,229.73","11,059.17","11,296.43","10,985.01","291.05M","2.36%"
"09/30/2022","10,971.22","11,123.11","11,296.16","10,966.95","332.57M","-1.73%"
"09/29/2022","11,164.78","11,334.57","11,339.91","11,038.94","286.17M","-2.86%"
"09/28/2022","11,493.83","11,258.74","11,546.87","11,210.81","286.31M","1.97%"
"09/27/2022","11,271.75","11,411.34","11,502.38","11,175.29","251.06M","0.16%"
"09/26/2022","11,254.11","11,283.14","11,473.36","11,235.74","258.79M","-0.51%"
"09/23/2022","11,311.24","11,398.75","11,402.41","11,169.66","275.27M","-1.66%"
"09/22/2022","11,501.65","11,574.32","11,617.99","11,448.86","254.51M","-1.17%"
"09/21/2022","11,637.79","11,892.72","12,062.52","11,636.25","263.45M","-1.80%"
"09/20/2022","11,851.54","11,855.83","11,951.13","11,761.69","223.97M","-0.85%"
"09/19/2022","11,953.27","11,753.60","11,956.79","11,752.43","231.53M","0.77%"
"09/16/2022","11,861.38","11,775.93","11,875.09","11,710.25","728.59M","-0.55%"
"09/15/2022","11,927.49","12,034.43","12,153.34","11,867.88","282.27M","-1.71%"
"09/14/2022","12,134.40","12,092.03","12,170.25","12,016.43","273.28M","0.84%"
"09/13/2022","12,033.62","12,364.83","12,420.01","12,004.42","361.85M","-5.54%"
"09/12/2022","12,739.72","12,649.23","12,752.83","12,639.76","226.04M","1.20%"
"09/09/2022","12,588.29","12,424.15","12,610.43","12,424.15","228.58M","2.17%"
"09/08/2022","12,321.19","12,139.57","12,374.13","12,120.26","231.14M","0.50%"
"09/07/2022","12,259.39","12,038.18","12,298.12","12,026.98","237.42M","2.07%"
"09/06/2022","12,011.31","12,106.57","12,152.42","11,928.81","244.57M","-0.72%"
"09/02/2022","12,098.44","12,392.45","12,451.28","12,035.53","249.11M","-1.44%"
"09/01/2022","12,274.62","12,158.88","12,290.33","12,012.98","277.40M","0.02%"
"08/31/2022","12,272.03","12,448.07","12,502.15","12,268.08","315.42M","-0.57%"
"08/30/2022","12,342.70","12,562.40","12,572.88","12,240.82","232.45M","-1.13%"
"08/29/2022","12,484.32","12,488.46","12,594.34","12,440.40","219.65M","-0.96%"
"08/26/2022","12,605.17","13,129.91","13,175.25","12,603.41","308.68M","-4.10%"
"08/25/2022","13,143.58","12,984.74","13,146.84","12,951.61","209.03M","1.75%"
"08/24/2022","12,917.86","12,876.23","12,995.14","12,843.58","179.36M","0.28%"
"08/23/2022","12,881.79","12,885.28","13,000.71","12,852.70","179.39M","-0.07%"
"08/22/2022","12,890.54","13,056.39","13,073.07","12,859.82","222.57M","-2.66%"
"08/19/2022","13,242.90","13,370.25","13,402.61","13,210.82","248.83M","-1.95%"
"08/18/2022","13,505.99","13,474.24","13,553.28","13,405.74","189.70M","0.26%"
"08/17/2022","13,470.86","13,499.24","13,591.58","13,389.82","197.26M","-1.21%"
"08/16/2022","13,635.21","13,617.66","13,720.91","13,508.47","180.39M","-0.23%"
"08/15/2022","13,667.18","13,529.66","13,685.65","13,524.53","166.36M","0.75%"
"08/12/2022","13,565.87","13,384.65","13,565.87","13,341.65","209.25M","2.06%"
"08/11/2022","13,291.99","13,471.03","13,555.38","13,271.35","198.56M","-0.65%"
"08/10/2022","13,378.32","13,330.66","13,386.85","13,220.05","255.82M","2.85%"
"08/09/2022","13,008.17","13,064.24","13,095.70","12,945.60","214.96M","-1.15%"
"08/08/2022","13,159.16","13,227.09","13,394.53","13,103.80","202.55M","-0.37%"
"08/05/2022","13,207.69","13,107.45","13,286.02","13,070.36","215.10M","-0.78%"
"08/04/2022","13,311.04","13,253.77","13,326.72","13,170.44","221.80M","0.44%"
"08/03/2022","13,253.26","12,983.58","13,289.19","12,974.85","284.79M","2.73%"
"08/02/2022","12,901.60","12,853.04","13,073.27","12,809.01","215.11M","-0.30%"
"08/01/2022","12,940.78","12,877.04","13,084.61","12,833.16","226.46M","-0.06%"
"07/29/2022","12,947.98","12,784.20","12,986.64","12,726.25","340.16M","1.81%"
"07/28/2022","12,717.87","12,580.61","12,741.83","12,433.55","257.67M","0.92%"
"07/27/2022","12,601.47","12,299.34","12,660.77","12,256.93","304.74M","4.26%"
"07/26/2022","12,086.90","12,248.21","12,259.01","12,051.21","229.65M","-1.96%"
"07/25/2022","12,328.41","12,391.21","12,415.59","12,244.40","190.24M","-0.55%"
"07/22/2022","12,396.47","12,575.76","12,662.86","12,322.82","236.15M","-1.77%"
"07/21/2022","12,619.41","12,466.13","12,620.50","12,351.42","222.30M","1.44%"
"07/20/2022","12,439.68","12,269.07","12,488.39","12,232.20","239.69M","1.55%"
"07/19/2022","12,249.42","12,046.69","12,258.37","11,967.92","267.09M","3.13%"
"07/18/2022","11,877.50","12,089.68","12,156.09","11,836.52","231.20M","-0.89%"
"07/15/2022","11,983.62","11,896.15","11,987.52","11,828.13","264.00M","1.83%"
"07/14/2022","11,768.40","11,637.18","11,801.11","11,488.27","204.76M","0.34%"
"07/13/2022","11,728.53","11,523.91","11,819.69","11,498.96","204.07M","-0.14%"
"07/12/2022","11,744.99","11,926.84","11,990.44","11,684.02","208.96M","-0.97%"
"07/11/2022","11,860.28","12,008.76","12,026.06","11,830.89","198.97M","-2.19%"
"07/08/2022","12,125.69","11,977.95","12,179.32","11,956.03","175.25M","0.14%"
"07/07/2022","12,109.05","11,913.73","12,137.71","11,897.51","224.25M","2.16%"
"07/06/2022","11,852.59","11,807.08","11,941.31","11,727.36","205.56M","0.62%"
"07/05/2022","11,779.91","11,419.34","11,781.74","11,366.07","246.77M","1.68%"
"07/01/2022","11,585.68","11,472.63","11,592.85","11,378.63","223.73M","0.71%"
"06/30/2022","11,503.72","11,532.32","11,650.97","11,322.86","293.08M","-1.33%"
"06/29/2022","11,658.26","11,619.01","11,710.21","11,537.72","191.33M","0.18%"
"06/28/2022","11,637.77","12,021.34","12,133.87","11,633.13","244.75M","-3.09%"
"06/27/2022","12,008.24","12,157.93","12,175.98","11,965.67","218.40M","-0.81%"
"06/24/2022","12,105.85","11,826.95","12,112.82","11,812.18","428.18M","3.49%"
"06/23/2022","11,697.68","11,622.09","11,729.62","11,515.49","231.63M","1.47%"
"06/22/2022","11,527.71","11,427.74","11,708.08","11,423.20","240.32M","-0.16%"
"06/21/2022","11,546.76","11,446.99","11,638.47","11,446.99","277.58M","2.49%"
"06/17/2022","11,265.99","11,172.65","11,357.97","11,089.93","648.78M","1.24%"
"06/16/2022","11,127.57","11,286.87","11,311.05","11,037.21","326.71M","-4.02%"
"06/15/2022","11,593.77","11,468.13","11,751.30","11,346.54","285.50M","2.49%"
"06/14/2022","11,311.69","11,385.18","11,418.22","11,205.92","240.09M","0.21%"
"06/13/2022","11,288.32","11,472.19","11,568.65","11,254.18","341.06M","-4.60%"
"06/10/2022","11,832.82","12,052.59","12,082.69","11,825.35","283.02M","-3.56%"
"06/09/2022","12,269.78","12,543.37","12,666.41","12,265.86","224.67M","-2.74%"
"06/08/2022","12,615.13","12,682.81","12,776.65","12,578.55","196.52M","-0.76%"
"06/07/2022","12,711.67","12,456.49","12,737.30","12,413.56","191.80M","0.89%"
"06/06/2022","12,599.63","12,745.89","12,804.46","12,534.58","199.82M","0.41%"
"06/03/2022","12,548.02","12,650.39","12,724.81","12,505.76","218.94M","-2.67%"
"06/02/2022","12,892.89","12,498.63","12,897.63","12,447.77","237.93M","2.75%"
"06/01/2022","12,548.36","12,750.31","12,820.47","12,457.91","207.11M","-0.74%"
"05/31/2022","12,642.10","12,688.95","12,762.84","12,482.33","418.67M","-0.31%"
"05/27/2022","12,681.42","12,421.80","12,682.58","12,405.29","247.78M","3.30%"
"05/26/2022","12,276.79","11,906.83","12,337.73","11,901.87","253.12M","2.79%"
"05/25/2022","11,943.93","11,732.45","12,028.89","11,714.27","226.97M","1.48%"
"05/24/2022","11,769.84","11,807.78","11,842.81","11,576.11","232.10M","-2.20%"
"05/23/2022","12,034.28","11,867.08","12,047.81","11,785.76","224.19M","1.68%"
"05/20/2022","11,835.62","12,037.03","12,044.70","11,492.29","310.72M","-0.34%"
"05/19/2022","11,875.63","11,872.56","12,066.85","11,795.79","275.82M","-0.44%"
"05/18/2022","11,928.31","12,352.92","12,389.96","11,887.00","280.61M","-5.06%"
"05/17/2022","12,564.10","12,496.63","12,572.99","12,333.99","234.46M","2.62%"
"05/16/2022","12,243.58","12,297.07","12,395.51","12,196.21","198.36M","-1.16%"
